Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
It's Something,41800,0.51459515,0.468,0.12027592957019806,72,https://www.youtube.com/@itssomethingyt
Peter H. Diamandis,393000,0.5130986,0.47,0.12180005759000778,1621,https://www.youtube.com/@peterdiamandis
Jack LIVE,1140000,0.5128347,0.454,0.10382334142923355,1592,https://www.youtube.com/@jackdlive
"Parkev Tatevosian, CFA",379000,0.5124821,0.298,0.07381246984004974,6315,https://www.youtube.com/@parkevtatevosiancfa9544
Craig Chamberlin,43100,0.5123499,0.323,0.038936275988817215,1002,https://www.youtube.com/@craigchamberlin
Community,406000,0.5111171,0.495,0.10603464394807816,1113,https://www.youtube.com/@communityofficialchannel
Investing Simplified - Professor G,376000,0.5108994,0.399,0.081069216132164,739,https://www.youtube.com/@nolangouveia
Sambucha,10800000,0.51054716,0.365,0.07765886932611465,3517,https://www.youtube.com/@sambucha
Company Man,1790000,0.51024723,0.494,0.11050703376531601,449,https://www.youtube.com/@companyman114
The Daily Show,13200000,0.5101323,0.504,0.12620045244693756,7959,https://www.youtube.com/@thedailyshow
Techquickie,4330000,0.5101098,0.343,0.0493968166410923,1269,https://www.youtube.com/@techquickie
BlackySpeakz,1190000,0.5087383,0.577,0.14136971533298492,1128,https://www.youtube.com/@blackyspeakz
hxsain,4160000,0.507444,0.549,0.11146386712789536,2077,https://www.youtube.com/@hxsain
Everything Money Plus,23500,0.50673324,0.421,0.11953189969062805,262,https://www.youtube.com/@everythingmoneyplus
Complex,6820000,0.50567126,0.485,0.10076073557138443,5058,https://www.youtube.com/@complex
Lenny's Podcast,501000,0.5056538,0.413,0.09838541597127914,1507,https://www.youtube.com/@lennyspodcast
Fox News Clips,566000,0.5056082,0.528,0.10260070860385895,3765,https://www.youtube.com/@foxnewschannelclips
SWErikCodes,64900,0.5052378,0.375,0.07570260018110275,670,https://www.youtube.com/@swerikcodes
news.com.au,1290000,0.5051542,0.511,0.09147553145885468,17746,https://www.youtube.com/@newscomauhq
Brian Tyler Cohen,4860000,0.50510603,0.49,0.1287694275379181,6161,https://www.youtube.com/@briantylercohen
Danno Cal Drawings,3980000,0.5047424,0.395,0.07684680819511414,1150,https://www.youtube.com/@dannodraws
Jeff Geerling,1000000,0.5042853,0.38,0.06630836427211761,533,https://www.youtube.com/@jeffgeerling
Xevi,1180000,0.50303584,0.649,0.15325148403644562,510,https://www.youtube.com/@xeviuniverse
NBC 15,89700,0.5021361,0.514,0.09410897642374039,21283,https://www.youtube.com/@mynbc15
MsMojo,5710000,0.50207794,0.474,0.12040156126022339,10234,https://www.youtube.com/@msmojo
Economics Explained,2810000,0.5019616,0.484,0.10308674722909927,408,https://www.youtube.com/@economicsexplained
Ray William Johnson,18600000,0.50157994,0.617,0.1558428257703781,2939,https://www.youtube.com/@raywilliamjohnson
Mrwhosetheboss,21800000,0.5005584,0.387,0.07000994682312012,1852,https://www.youtube.com/@mrwhosetheboss
CBS Sunday Morning,1780000,0.49894732,0.519,0.09574025124311447,9119,https://www.youtube.com/@cbssundaymorning
Clarissa.C ,68600,0.4985521,0.59,0.13627764582633972,200,https://www.youtube.com/@ceetv.clarissa
Tim Todd,100000,0.49849606,0.437,0.0958440974354744,194,https://www.youtube.com/@timtodduk
Abbie Ree,49100,0.49848858,0.6,0.1465575397014618,38,https://www.youtube.com/@abbieree
The Hollywood Reporter,1300000,0.49762645,0.513,0.1221892312169075,12697,https://www.youtube.com/@hollywoodreporter
Jarrett Moore,80900,0.4957841,0.459,0.12819012999534607,24,https://www.youtube.com/@jarrettmoore6458
IGN,19500000,0.49530637,0.463,0.09426825493574142,175424,https://www.youtube.com/@ign
CNBC,4060000,0.4938656,0.478,0.08599970489740372,15767,https://www.youtube.com/@cnbc
GossipHerald,80600,0.49329993,0.534,0.12543505430221558,10080,https://www.youtube.com/@gossipherald
IBM Technology,1430000,0.49258202,0.333,0.06155986711382866,1442,https://www.youtube.com/@ibmtechnology
Lael Hansen,1220000,0.49235475,0.529,0.12461601197719574,121,https://www.youtube.com/@laelhansen
Robert Benjamin,863000,0.49194115,0.353,0.09387727826833725,1529,https://www.youtube.com/@robertbenjaminchannel
Content Machine,3780000,0.49143726,0.398,0.07998556643724442,1375,https://www.youtube.com/@content_machine
ShawnCeeLIVE,206000,0.4912786,0.508,0.12488367408514023,1011,https://www.youtube.com/@shawnceelive
MSNBC,9290000,0.49036413,0.565,0.12585528194904327,104887,https://www.youtube.com/@msnbc
Megyn Kelly,4050000,0.490196,0.59,0.1364753246307373,11646,https://www.youtube.com/@megynkelly
Real Alex Clark,679000,0.48936036,0.505,0.09658318758010864,3609,https://www.youtube.com/@realalexclark
Copper Digital,14800,0.48755202,0.367,0.06542138755321503,1107,https://www.youtube.com/@copperdigitalinc
TMZ,4970000,0.4861122,0.427,0.12131267786026001,20357,https://www.youtube.com/@tmz
Jarred Jermaine,4450000,0.48598546,0.499,0.09595387428998947,4187,https://www.youtube.com/@jarredjermaine
CBS News,6810000,0.48574686,0.462,0.08048481494188309,144196,https://www.youtube.com/@cbsnews
The Critical Analyst,35000,0.4854898,0.488,0.11985091865062714,1373,https://www.youtube.com/@the_criticalanalyst
Brut America,520000,0.4854287,0.532,0.10504896938800812,4481,https://www.youtube.com/@brutamerica
Olive's Closet,29400,0.48488563,0.3,0.056366823613643646,1536,https://www.youtube.com/@olivescloset
Nicholas Renotte,319000,0.48487398,0.264,0.0379769466817379,322,https://www.youtube.com/@nicholasrenotte
Catfished,545000,0.48483256,0.386,0.11521901190280914,2250,https://www.youtube.com/@catfishedonline
Data Orbit,26800,0.48437473,0.58,0.12404431402683258,4728,https://www.youtube.com/@dataorbit27
Breaking View USA,38100,0.4831818,0.493,0.10316683351993561,11967,https://www.youtube.com/@breakingviewusa
Observe,862000,0.4829713,0.527,0.12459328770637512,546,https://www.youtube.com/@observeyoutube
Offensive Tea,1150000,0.48283467,0.655,0.13737986981868744,235,https://www.youtube.com/@offensivetea
Kelly Scholas ,60900,0.4819138,0.515,0.1301001012325287,26,https://www.youtube.com/@kellyscholas
WatchMojo.com,25900000,0.48175138,0.453,0.13119171559810638,31323,https://www.youtube.com/@watchmojo
Musk Munition,149000,0.48115999,0.485,0.12738032639026642,875,https://www.youtube.com/@muskmunition
Learn With Shopify,818000,0.4808841,0.305,0.055096499621868134,1277,https://www.youtube.com/@learnwithshopify
NowThis Impact,4720000,0.4801798,0.48,0.08598852902650833,24487,https://www.youtube.com/@nowthisimpact
RKH Media,95200,0.47650033,0.459,0.132780984044075,284,https://www.youtube.com/@rkhmedia_
Mr. Beat,1300000,0.47373366,0.417,0.09081708639860153,851,https://www.youtube.com/@iammrbeat
katie robinson,58600,0.4733787,0.383,0.08690077811479568,352,https://www.youtube.com/@katierobinson
Mike the Credit Guy ,446000,0.47270185,0.41,0.10224325954914093,6177,https://www.youtube.com/@mikethecreditguy
The Moving Average,1100000,0.4721153,0.312,0.06715632230043411,1071,https://www.youtube.com/@themovingaverage
Storm Monroe,353000,0.4718321,0.483,0.12057685852050781,4580,https://www.youtube.com/@stormmonroe
CNN,18800000,0.47139925,0.514,0.09079163521528244,177002,https://www.youtube.com/@cnn
The Skinny Confidential,286000,0.4712438,0.516,0.11155835539102554,2667,https://www.youtube.com/@theskinnyconfidential
Rap Lore,40100,0.47042403,0.636,0.14899034798145294,272,https://www.youtube.com/@raplore
JeGaysus - THE Gay Jesus,66300,0.46902978,0.443,0.08532192558050156,1684,https://www.youtube.com/@jegaysus
FORGOTTEN HISTORY,975000,0.46768957,0.559,0.1331339329481125,1272,https://www.youtube.com/@forgottenhistorychannel
Larry King,590000,0.46721676,0.514,0.09029170125722885,6809,https://www.youtube.com/@larryking
Social Society w/ Brandon Clark,23200,0.4654365,0.477,0.1726677566766739,2864,https://www.youtube.com/@asocialsociety
Dexerto,865000,0.46537524,0.455,0.1114497110247612,4287,https://www.youtube.com/@dexerto
E! News,2450000,0.4652728,0.511,0.1226971447467804,30059,https://www.youtube.com/@enews
CouRage Gaming,2760000,0.46360952,0.402,0.09218920022249222,598,https://www.youtube.com/@couragegaming
SPEAKING OUT EXPOSING CORRUPTION AND INCOMPETENCE,11500,0.4615919,0.408,0.18252529203891754,476,https://www.youtube.com/@speakingoutexposingcorrupt6806
Inanimate Person,34700,0.46064964,0.448,0.10347083956003189,592,https://www.youtube.com/@inanimateperson
Vtubing Explained,10100,0.46060365,0.462,0.13785435259342194,18,https://www.youtube.com/@vtubingexplained
Zack D. Films,24100000,0.46002072,0.489,0.11443306505680084,2481,https://www.youtube.com/@zackdfilms
Fox News,14600000,0.45922482,0.534,0.12106221169233322,128505,https://www.youtube.com/@foxnews
