Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
ReviewEcon,36900,0.26485497,0.284,0.10892505943775177,163,https://www.youtube.com/@reviewecon
FuturisticTech,74700,0.26302436,0.305,0.08192295581102371,790,https://www.youtube.com/@futuristictechh
Operation Ouch,459000,0.26256895,0.232,0.06133679673075676,888,https://www.youtube.com/@operationouch
Mrwhosetheboss,21800000,0.2625233,0.239,0.04585517942905426,1852,https://www.youtube.com/@mrwhosetheboss
zaydante,481000,0.2621557,0.163,0.03559690713882446,306,https://www.youtube.com/@zaydante
TRIBL,3300000,0.2606396,0.209,0.043813709169626236,1765,https://www.youtube.com/@tribl
Learn With Shopify,819000,0.2606256,0.286,0.045398809015750885,1280,https://www.youtube.com/@learnwithshopify
Google Career Certificates,680000,0.25926965,0.308,0.05049528926610947,1037,https://www.youtube.com/@googlecareercertificates
freeCodeCamp.org,11300000,0.25748557,0.284,0.045788053423166275,1963,https://www.youtube.com/@freecodecamp
Tina Travel,97700,0.25671044,0.208,0.07379188388586044,337,https://www.youtube.com/@tinaatravel
Intergovernmental Panel on Climate Change (IPCC),46500,0.25585082,0.336,0.06320708990097046,440,https://www.youtube.com/@ipccgeneva
ROCK SQUAD,4530000,0.25252315,0.247,0.05276556685566902,926,https://www.youtube.com/@therocksquad
Carlos Reig,5190000,0.25127003,0.207,0.03164954483509064,904,https://www.youtube.com/@carlosreig
Study of Antiquity and the Middle Ages,347000,0.25063404,0.305,0.05848979204893112,460,https://www.youtube.com/@studyofantiquityandthemidd4449
Recokh,312000,0.24961644,0.228,0.058721382170915604,378,https://www.youtube.com/@recokh
One Message Foundation,1310000,0.24939714,0.242,0.054177552461624146,2072,https://www.youtube.com/@onemessagefoundation
Justin Sung,1840000,0.24903783,0.304,0.044390611350536346,824,https://www.youtube.com/@justinsung
Billie Newland,150000,0.2474376,0.268,0.06184743344783783,705,https://www.youtube.com/@billiexnewland
R Consortium,22100,0.24345493,0.276,0.04545902460813522,849,https://www.youtube.com/@rconsortium
DupreeGod,144000,0.24235216,0.221,0.045321136713027954,1405,https://www.youtube.com/@dupreegod
Most Extreme Innovation,27200,0.23918834,0.207,0.04920826107263565,27,https://www.youtube.com/@mostextreme
High Season Co.,87400,0.23861149,0.189,0.03163254261016846,879,https://www.youtube.com/@highseasonco
Chike Live,69100,0.23610976,0.278,0.09354283660650253,306,https://www.youtube.com/@egwuchike
