Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
Dexerto,865000,0.4673158,0.456,0.1131535619497299,4287
The Skinny Confidential,286000,0.46651676,0.511,0.1113376393914222,2667
Zack D. Films,24100000,0.4650261,0.493,0.1169008091092109,2481
The Moving Average,1100000,0.4640866,0.304,0.0648245364427566,1071
E! News,2450000,0.4634845,0.508,0.1229270175099372,30059
JeGaysus - THE Gay Jesus,66300,0.46294603,0.443,0.0863417387008667,1684
Vtubing Explained,10100,0.46274364,0.461,0.1388976424932479,18
Fox News,14600000,0.4609182,0.534,0.122410275042057,128505
BakerInstitute,21400,0.46025833,0.483,0.0992561653256416,2305
Inanimate Person,34700,0.45806867,0.442,0.1026270240545272,592
MoreMojo,79200,0.4563619,0.571,0.143863171339035,3874
SPEAKING OUT EXPOSING CORRUPTION AND INCOMPETENCE,11500,0.45535284,0.409,0.1850476562976837,476
Neuro-sama,787000,0.4546838,0.497,0.1027102395892143,392
List 25,2760000,0.4544173,0.38,0.0903012976050376,3022
KARE 11,397000,0.45326895,0.315,0.0564647912979126,58913
Roland S. Martin,1880000,0.45228785,0.499,0.1272172033786773,28464
The Hill,2120000,0.4514953,0.502,0.1074094921350479,40169
Politicon,389000,0.45096087,0.48,0.1157123073935508,2868
CouRage Gaming,2760000,0.45090684,0.391,0.0892344936728477,598
Lynn Odhiambo ,183000,0.45001638,0.423,0.087050475180149,860
CodeHead,49300,0.44822875,0.335,0.0708615705370903,104
Secret Society,75400,0.44762117,0.585,0.1486490368843078,33
Miraenda,51200,0.44695038,0.324,0.0946780741214752,3341
Bree Lenehan,550000,0.44673413,0.366,0.0795062929391861,196
No Intervals,88500,0.44603908,0.403,0.0919329151511192,1061
OnThatNote,54800,0.4458994,0.433,0.132493570446968,443
Tyrecordslol,5780000,0.44235173,0.345,0.0761194229125976,1892
Our History,945000,0.4416224,0.501,0.1071873977780342,739
The Groove,23200,0.44060576,0.575,0.1349650025367736,64
The Professor Of Real Estate ,63600,0.43866116,0.5,0.0930696651339531,158
Tori Trades,545000,0.43846223,0.244,0.0571447126567363,985
KCAU-TV Sioux City,40300,0.437662,0.307,0.0708153024315834,58256
